id,departure_timestamp,arrival_timestamp,duration,from_id,to_id,from_country,to_country
132106,1699752060,1699756020,3960,134035,152015,GB,GB
113946,1700161260,1700164920,3660,106633,143058,GB,GB
8133,1698968820,1698984360,15540,112299,41799,US,US
76428,1699612800,1699623720,10920,101242,161310,IT,IT
142924,1699275540,1699279140,3600,3341,166206,GB,GB
45235,1700362620,1700372160,9540,195779,191791,IT,IT
72357,1699661880,1699675620,13740,4363,42445,US,US
181545,1699595460,1699613400,17940,106660,152920,AT,SK
160851,1700537940,1700541540,3600,138449,130486,NL,NL
45765,1699392360,1699395960,3600,91747,82399,GB,GB
92529,1700529660,1700533320,3660,157587,164758,GB,GB
9389,1700577120,1700590440,13320,116623,130362,IT,IT
114847,1699273740,1699309680,35940,66891,71746,TR,TR
81932,1700717460,1700749980,32520,66823,112590,TR,TR
183310,1698855480,1698859080,3600,118342,59410,NL,NL
197501,1699521060,1699546560,25500,123592,52675,DE,BG
104008,1700840880,1700850660,9780,18771,28147,IT,IT
2680,1700200500,1700231760,31260,37999,40516,TR,TR
197898,1700470440,1700502840,32400,155864,10956,TR,TR
1239,1699363980,1699368300,4320,1976,58704,AD,FR
168799,1700524860,1700558340,33480,120956,69566,TR,TR
147838,1700269920,1700273520,3600,191811,71456,GB,GB
168182,1700653740,1700665740,12000,144846,99579,US,US
163403,1699805880,1699835880,30000,103591,124885,TR,TR
191550,1700439900,1700464560,24660,133641,121213,DE,DE
94850,1700796300,1700812200,15900,116759,132449,FR,FR
192160,1699464060,1699494900,30840,24938,50167,TR,TR
40984,1698973860,1698986280,12420,22806,182334,IT,IT
93574,1699262100,1699274820,12720,26260,33762,US,US
199309,1699495020,1699505640,10620,66905,99896,HR,HR
178569,1700101440,1700130360,28920,163936,123883,TR,TR
61261,1700319900,1700351100,31200,33538,198098,TR,TR
98860,1699041300,1699074960,33660,166971,159552,TR,TR
168931,1700109060,1700134620,25560,93059,53274,DE,FR
162827,1700079720,1700091780,12060,117950,72455,IT,IT
84468,1700149380,1700152980,3600,153480,109656,GB,GB
67460,1699552260,1699569360,17100,145620,12979,SE,SE
103326,1699299120,1699306140,7020,165546,180174,GB,GB
102526,1699156440,1699183440,27000,48267,43191,PL,PL
41266,1700408940,1700437260,28320,139253,144664,DE,HU
76066,1700223420,1700232240,8820,38706,29194,IT,HU
33396,1699629060,1699654020,24960,184243,89398,DE,DE
53818,1699734060,1699762740,28680,132362,125151,BA,HR
183553,1699333380,1699348020,14640,109029,47233,US,US
146568,1699686600,1699691220,4620,44232,59553,NL,NL
94696,1699202520,1699216980,14460,28786,127396,FR,FR
39590,1699646100,1699680360,34260,30946,136722,TR,TR
191216,1700020680,1700034480,13800,186043,76319,HR,HR
112861,1699613940,1699627320,13380,171483,169433,HR,HR
79255,1699801800,1699805400,3600,124508,76212,GB,GB
193262,1700488020,1700491620,3600,111631,169632,GB,GB
8178,1700628300,1700639700,11400,174889,124732,SK,SK
26798,1700568480,1700593980,25500,190610,93939,BR,BR
150311,1699477260,1699490700,13440,62444,24398,US,US
38026,1698875040,1698905640,30600,123216,40839,TR,TR
21486,1700771400,1700786400,15000,78345,62093,US,US
90619,1700670780,1700702880,32100,44906,101881,TR,TR
155269,1699686180,1699718340,32160,134314,56458,TR,TR
12529,1700098680,1700111280,12600,20336,133387,US,US
71022,1698921960,1698951300,29340,101634,11543,TR,TR
187267,1700294640,1700300940,6300,84515,27890,GB,GB
135450,1699700160,1699756200,56040,62021,56233,BG,AT
2768,1700784420,1700808840,24420,75220,47845,RO,RO
176805,1700416200,1700451720,35520,53271,38417,TR,TR
147923,1699713120,1699717800,4680,33689,9154,GB,GB
37966,1699412280,1699425600,13320,128215,150808,US,US
10122,1698816300,1698821700,5400,123256,68366,GB,GB
112135,1699126740,1699138380,11640,164901,129385,ES,ES
21463,1699225020,1699241280,16260,32440,56531,US,US
129488,1700726940,1700759820,32880,40279,81018,TR,TR
74821,1699393080,1699426020,32940,160096,81911,TR,TR
104747,1699715040,1699727520,12480,137507,152449,US,US
89681,1699046280,1699065780,19500,108273,171308,BE,NL
25372,1699754520,1699763760,9240,33347,95704,HR,HR
114387,1700577420,1700591580,14160,112537,84864,HR,HR
188536,1700109840,1700123580,13740,158300,95438,PT,PT
79481,1699000620,1699017480,16860,143005,53291,RS,SI
113298,1700865840,1700876940,11100,66432,22139,CZ,CZ
34381,1698971520,1698984780,13260,175406,83580,RS,RS
101224,1699701840,1699712520,10680,117519,89310,HR,HR
54546,1700081040,1700098380,17340,62754,128473,FR,DE
3235,1700540940,1700555640,14700,66075,80480,US,US
179255,1698831480,1698835080,3600,154930,82008,GB,GB
138910,1700031180,1700059920,28740,72458,140550,PL,DE
77409,1699078740,1699109820,31080,83414,56953,TR,TR
6896,1699321260,1699356780,35520,10502,39992,TR,TR
15886,1699869420,1699898760,29340,19550,74035,TR,TR
47732,1699959900,1699968660,8760,113655,156069,ES,ES
175471,1699128660,1699132260,3600,89845,75732,GB,GB
144483,1700229480,1700242440,12960,38654,100209,US,US
180024,1698872640,1698903720,31080,173125,153708,TR,TR
39379,1700394840,1700430600,35760,192239,119750,TR,TR
183065,1699023000,1699053180,30180,27325,25864,TR,TR
31991,1700117160,1700152380,35220,31896,124616,TR,TR
82955,1699026780,1699044000,17220,29364,4669,AT,SK
170993,1698957480,1698991500,34020,90099,150683,TR,TR
71282,1700704320,1700735460,31140,182780,86168,TR,TR
110821,1699325880,1699356480,30600,191935,100961,TR,TR
69709,1700594760,1700611140,16380,43779,190620,AT,RS
145433,1699562700,1699577580,14880,162220,123175,AT,AT
42046,1700136600,1700140200,3600,162448,157578,GB,GB
14213,1700102400,1700119980,17580,183011,86814,US,US
51265,1699068780,1699081200,12420,79856,73835,US,US
17420,1699507740,1699536780,29040,37983,79513,TR,TR
20382,1700064180,1700094900,30720,156313,99192,TR,TR
31228,1700615100,1700648640,33540,89835,76580,TR,TR
113409,1700019660,1700055480,35820,42217,191573,TR,TR
164444,1699354680,1699385820,31140,28237,32939,TR,TR
114266,1699713720,1699747800,34080,100775,147512,MX,US
16101,1699480740,1699514100,33360,156611,106187,TR,TR
15017,1700496480,1700531400,34920,121317,164166,TR,TR
51508,1698936000,1698953400,17400,4354,175798,US,US
131921,1699305780,1699338000,32220,138652,75181,TR,TR
119876,1699258140,1699265280,7140,171880,176729,NL,NL
27996,1700620500,1700633280,12780,167250,195027,IT,IT
126480,1699038840,1699073940,35100,109109,160780,TR,TR
56915,1699330080,1699362720,32640,177585,104437,TR,TR
77533,1699861920,1699890840,28920,78173,172745,TR,TR
142102,1700605020,1700608620,3600,44180,144986,NL,NL
127305,1700450040,1700485860,35820,83853,158001,TR,TR
63385,1700109240,1700114640,5400,186439,194265,NL,NL
28659,1700005560,1700040120,34560,81706,41877,TR,TR
35095,1699862880,1699873800,10920,172091,161031,US,US
172501,1700594940,1700621100,26160,157784,80320,BR,BR
163350,1699504800,1699534140,29340,192652,99777,TR,TR
97815,1699459140,1699466940,7800,117941,25519,IT,IT
34373,1699053720,1699057860,4140,144027,112201,GB,GB
187140,1699346580,1699380720,34140,24640,56815,TR,TR
143345,1699190820,1699225500,34680,7775,27675,TR,TR
72217,1699540620,1699549680,9060,10954,168927,SK,AT
70589,1700715600,1700751540,35940,157075,94124,TR,TR
177404,1700371800,1700401140,29340,12869,64821,TR,TR
26946,1700570520,1700599680,29160,118557,148566,TR,TR
110469,1699495980,1699511400,15420,106681,184374,US,US
69703,1699539480,1699570260,30780,120945,20552,TR,TR
81180,1699911060,1699924980,13920,189770,172682,CZ,PL
14161,1700748960,1700754600,5640,1183,113897,GB,GB
163540,1700571660,1700585340,13680,38425,183260,IT,IT
57153,1700452200,1700455800,3600,34797,48456,NL,NL
91383,1699534080,1699540800,6720,61226,160642,GB,GB
157278,1699117260,1699126800,9540,174403,57778,IT,IT
40697,1700842620,1700877720,35100,32395,194699,TR,TR
26234,1700291640,1700307960,16320,48894,33843,CA,US
68419,1698940740,1698952380,11640,93968,91455,AT,BG
105694,1699028460,1699036320,7860,181748,112303,ES,ES
178015,1699797960,1699829880,31920,36338,61154,TR,TR
137901,1699113060,1699144800,31740,72850,74210,TR,TR
194491,1699091400,1699100580,9180,41673,20990,IT,IT
81364,1699990380,1700007420,17040,130113,27063,FR,BE
24248,1699992540,1700010720,18180,5029,12376,FR,BE
133011,1699710600,1699738620,28020,126505,9749,DE,HU
37381,1698964020,1698975300,11280,139446,42171,US,US
157706,1699695540,1699727220,31680,108916,147151,TR,TR
7710,1700555880,1700589780,33900,29236,30037,MX,MX
38769,1700407800,1700416800,9000,99045,37088,HR,BA
